ORIGIN_AIRPORT_NAME,FLIGHT_NUMBER
Aberdeen Regional Airport,0.2
Abraham Lincoln Capital Airport,0.4
Adak Airport,0.1
Akron-Canton Regional Airport,1.3
Albany International Airport,1.5
Albert J. Ellis Airport,0.2
Albuquerque International Sunport,5.1
Alexandria International Airport,0.5
Alpena County Regional Airport,0.1
Appleton International Airport,0.5
Arcata Airport,0.5
Arnold Palmer Regional Airport,0.3
Asheville Regional Airport,0.6
Aspen-Pitkin County Airport,2.4
Atlantic City International Airport,1.1
Augusta Regional Airport (Bush Field),0.5
Austin-Bergstrom International Airport,9.4
Baltimore-Washington International Airport,20.0
Barkley Regional Airport,0.2
Baton Rouge Metropolitan Airport,1.3
Bellingham International Airport,0.3
Bemidji Regional Airport,0.2
Bert Mooney Airport,0.2
Bethel Airport,0.1
Bill and Hillary Clinton National Airport (Adams Field),2.6
Billings Logan International Airport,0.5
Birmingham-Shuttlesworth International Airport,2.5
Bishop International Airport,1.1
Bismarck Municipal Airport,0.7
Blue Grass Airport,1.0
Bob Hope Airport (Hollywood Burbank Airport),4.4
Boise Airport (Boise Air Terminal),3.1
Bozeman Yellowstone International Airport (Gallatin Field Airport),1.4
Bradley International Airport,5.0
Brainerd Lakes Regional Airport,0.3
Brownsville/South Padre Island International Airport,0.4
Brunswick Golden Isles Airport,0.1
Buffalo Niagara International Airport,3.8
Burlington International Airport,0.9
Canyonlands Field,0.2
Capital Region International Airport ( Lansing Capital City),0.5
Cedar City Regional Airport,0.2
Central Illinois Regional Airport at Bloomington-Normal,0.6
Central Nebraska Regional Airport,0.1
Central Wisconsin Airport,0.4
Charleston International Airport/Charleston AFB,2.5
Charlotte Douglas International Airport,28.0
Charlottesville-Albemarle Airport,0.4
Chattanooga Metropolitan Airport (Lovell Field),0.5
Cherry Capital Airport,0.6
Chicago Midway International Airport,18.4
Chicago O'Hare International Airport,68.4
Chippewa County International Airport,0.2
Chippewa Valley Regional Airport,0.2
Cincinnati/Northern Kentucky International Airport,4.2
City of Colorado Springs Municipal Airport,2.2
Cleveland Hopkins International Airport,7.5
Coastal Carolina Regional Airport (Craven County Regional),0.1
Columbia Metropolitan Airport,1.2
Columbia Regional Airport,0.3
Columbus Metropolitan Airport,0.1
Corpus Christi International Airport,1.2
Cyril E. King Airport,1.7
Dallas Love Field,13.1
Dallas/Fort Worth International Airport,61.8
Dane County Regional Airport,2.0
Daytona Beach International Airport,0.3
Deadhorse Airport (Prudhoe Bay Airport),0.2
Del Norte County Airport (Jack McNamara Field),0.2
Delta County Airport,0.2
Denver International Airport,57.2
Des Moines International Airport,2.1
Destin-Fort Walton Beach Airport/Eglin AFB,1.1
Detroit Metropolitan Airport,21.5
Devils Lake Regional Airport,0.1
Dickinson Theodore Roosevelt Regional Airport,0.2
Dothan Regional Airport,0.2
Dubuque Regional Airport,0.3
Duluth International Airport,0.5
Durango-La Plata County Airport,0.4
Eagle County Regional Airport,0.9
East Texas Regional Airport,0.1
Easterwood Airport,0.4
El Paso International Airport,3.2
Elko Regional Airport,0.2
Elmira/Corning Regional Airport,0.2
Eppley Airfield,3.6
Erie International Airport,0.2
Eugene Airport (Mahlon Sweet Field),1.3
Evansville Regional Airport,0.6
Fairbanks International Airport,0.5
Falls International Airport,0.2
Fayetteville Regional Airport,0.2
Flagstaff Pulliam Airport,0.3
Ford Airport,0.2
Fort Lauderdale-Hollywood International Airport,23.1
Fort Smith Regional Airport,0.3
Fort Wayne International Airport,0.7
Fresno Yosemite International Airport,2.5
Friedman Memorial Airport,0.4
Gainesville Regional Airport,0.5
Garden City Regional Airport,0.1
